"TUpprol","IMpkill","IMrwalk"
0.143946252198341,0.770683744467507,0.481461488877794
0.46761250724265,0.649607563989587,0.308968889194627
0.477440989368549,0.308825401150559,0.609052112786301
0.20674993506962,0.238199161441769,0.96152162938681
0.263860264840995,0.189892847856113,0.414830991424642
0.411012564701986,0.321443755558632,0.143842214561593
0.362952803743347,0.365745939737521,0.873030593710805
0.152745548144465,0.139848709191166,0.555874076739047
0.168282861287099,0.612753728798945,0.0404094413490642
0.499118917886583,0.730278393722127,0.421678777354971
0.364010220431937,0.107022982581464,0.377831685592784
0.237824348104281,0.230030114422079,0.159428376699469
0.21944992034026,0.233599837439577,0.473032021793241
0.427192944089487,0.715427938832172,0.740747224147625
0.396513643921895,0.442385512264855,0.0647040068770912
0.124728683199558,0.712186978089575,0.677535378674056
0.141261398452364,0.269840575478435,0.254457983616843
0.329018972223207,0.50376237208295,0.37868176622767
0.485338662275175,0.332842464166442,0.08956572315227
0.242225082312328,0.331424849562916,0.668979325222705
0.346118385952186,0.554882751703961,0.851735329179838
0.414730100694305,0.100851464329879,0.312014919635056
0.424516475409091,0.539253284941777,0.224150935255547
0.180743192649733,0.643826204399914,0.85938104919096
0.170739708625689,0.362377458206798,0.111251504655561
0.126931241442877,0.318105341902219,0.0998291147943683
0.351577486001518,0.447877281519984,0.239343423087534
0.473851918112529,0.631502594329238,0.379482598511023
0.190186037717042,0.554519106685645,0.430719249415861
0.227272979052048,0.435520941654832,0.784262298720862
0.372446922443844,0.120070017540152,0.63807950925825
0.447968948688226,0.114275150798765,0.529240517810172
0.151704947320254,0.236610426685894,0.271717193446026
0.167012236983858,0.267536662305399,0.632461130274479
0.318528602321514,0.188686983770104,0.691162197211739
0.479564088636913,0.306678530304958,0.487455644108985
0.274421032919756,0.575469663515605,0.743631947082031
0.220248848574469,0.523475673805021,0.799688921611945
0.401444884397935,0.103567275955971,0.566614604232308
0.306959419366648,0.641087021780823,0.904340384074657
0.129420073607878,0.727969661762516,0.817663181274665
0.116199890310121,0.398234008509037,0.44636540240901
0.398106744332851,0.346505068923316,0.0422077219807667
0.411657532668808,0.551575067045591,0.77030980818844
0.239045919104005,0.779767399946166,0.184463249671556
0.431029411381155,0.569678586795899,0.33682842381829
0.47582311241997,0.365777594546048,0.43816596758513
0.335237193308739,0.182649245486627,0.518348751900444
0.191603353068329,0.166544693066389,0.459036044197442
0.149112906154216,0.703816828132127,0.36060313686396
0.105749734029659,0.685039708356515,0.5408990643947
0.28604643683656,0.366036332761469,0.331679021506705
0.435820142491435,0.216775395514698,0.995065537760105
0.185058707984781,0.780418738077495,0.988145095975701
0.254911734036352,0.523629196016676,0.968018508677657
0.471774378846343,0.391755841999364,0.345280990149688
0.318180713400895,0.296581943034532,0.321928664487385
0.148220900183824,0.126558483132759,0.752876371609787
0.178177370273601,0.616650031486938,0.223794039228933
0.308128088194736,0.352468884973528,0.687240823935417
0.45350330145708,0.494886029923926,0.460114271210116
0.260150578031027,0.265596460424202,0.619187489783334
0.234418464536421,0.199675322123853,0.335990550907419
0.463098008460093,0.303927709221529,0.491628500841542
0.410505881489604,0.355925167899944,0.104289385816708
0.126288105481427,0.318926364967411,0.899702217401038
0.153506093064317,0.717844723655759,0.354566469759954
0.414078728100423,0.718581461970502,0.658064494526025
0.495787279863153,0.419328802103364,0.733324721056165
0.23016867888652,0.166840674143991,0.794648930195633
0.297499384848546,0.223575717209479,0.276377259623803
0.413502932127039,0.261825373461432,0.240399054103186
0.387452542580888,0.311306576029304,0.204483647906843
0.199422783130066,0.731684015737784,0.127857561656426
0.156989181941133,0.392283823324482,0.563203778041868
